canonical_id,name,uberon,fma,ta2,system,laterality,scope
UBERON:0004725,piriform cortex,UBERON:0004725,,,nervous,unspecified,direct-source-geometry
HRA:Allen_frontal_agranular_insular_cortex_area_Fl_L|left,frontal agranular insular cortex area Fl (left),,,,nervous,left,direct-source-geometry
HRA:Allen_temporal_agranular_insular_cortex_area_Tl_L|left,temporal agranular insular cortex area Tl (left),,,,nervous,left,direct-source-geometry
HRA:Allen_head_of_caudate_L|left,head of caudate (left),,,,nervous,left,direct-source-geometry
HRA:Allen_body_of_caudate_L|left,body of caudate (left),,,,nervous,left,direct-source-geometry
HRA:Allen_tail_of_caudate_L|left,tail of caudate (left),,,,nervous,left,direct-source-geometry
UBERON:0008884|left,left putamen,UBERON:0008884,,,nervous,left,direct-source-geometry
HRA:Allen_nucleus_accumbens_L|left,nucleus accumbens (left),,,,nervous,left,direct-source-geometry
HRA:Allen_external_segment_of_globus_pallidus_L|left,external segment of globus pallidus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_internal_segment_of_globus_pallidus_L|left,internal segment of globus pallidus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_claustrum_L|left,claustrum (left),,,,nervous,left,direct-source-geometry
HRA:Allen_basal_forebrain_L|left,basal forebrain (left),,,,nervous,left,direct-source-geometry
HRA:Allen_septal_nuclei_L|left,septal nuclei (left),,,,nervous,left,direct-source-geometry
HRA:Allen_amygdaloid_complex_L|left,amygdaloid complex (left),,,,nervous,left,direct-source-geometry
HRA:Allen_anterior_amygdaloid_area_L|left,anterior amygdaloid area (left),,,,nervous,left,direct-source-geometry
HRA:Allen_central_nuclear_group_L|left,central nuclear group (left),,,,sensory,left,direct-source-geometry
HRA:Allen_lateral_nucleus_L|left,lateral nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_basolateral_nucleus_basal_nucleus_L|left,basolateral nucleus basal nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_basomedial_nucleus_accessory_basal_nucleus_L|left,basomedial nucleus accessory basal nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_anterior_cortical_nucleus_L|left,anterior cortical nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_posterior_cortical_nucleus_L|left,posterior cortical nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_medial_nucleus_L|left,medial nucleus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_amygdalohippocampal_area_L|left,amygdalohippocampal area (left),,,,nervous,left,direct-source-geometry
HRA:Allen_bed_nucleus_of_stria_terminalis_L|left,bed nucleus of stria terminalis (left),,,,nervous,left,direct-source-geometry
HRA:Allen_thalamus_L|left,thalamus (left),,,,nervous,left,direct-source-geometry
HRA:Allen_anterior_nuclear_complex_of_thalamus_L|left,anterior nuclear complex of thalamus (left),,,,sensory,left,direct-source-geometry
